id,title,common_name,genre,year,language,path
0,Just a Closer Walk with Thee,[Traditional],Rock,,English,dataset/[Traditional]/Just_a_Closer_Walk_with_Thee/Just_a_Closer_Walk_with_Thee.mxl
12,When You Were Sweet Sixteen,James Thornton,"Folk, World, & Country",1899,English,dataset/James_Thornton/When_You_Were_Sweet_Sixteen/When_You_Were_Sweet_Sixteen.mxl
59,About a Quarter to Nine,Al Dubin,Rock,1935,English,dataset/Al_Dubin-Harry_Warren/About_a_Quarter_to_Nine/About_a_Quarter_to_Nine.mxl
69,We Wish You a Merry Christmas,[Traditional],Pop,,English,dataset/[Traditional]/We_Wish_You_a_Merry_Christmas/We_Wish_You_a_Merry_Christmas.mxl
96,Zing! Went the Strings of My Heart,James Hanley,Rock,1934,English,dataset/James_Hanley/Zing!_Went_the_Strings_of_My_Heart/Zing!_Went_the_Strings_of_My_Heart.mxl
104,I Don't Know Why (I Just Do),Roy Turk,Pop,1931,English,dataset/Fred_E._Ahlert-Roy_Turk/I_Don't_Know_Why_(I_Just_Do)/I_Don't_Know_Why_(I_Just_Do).mxl
112,Scotland the Brave,[Traditional],"Folk, World, & Country",,,dataset/[Traditional]/Scotland_the_Brave/Scotland_the_Brave.mxl
127,The One I Love Belongs to Somebody Else,Gus Kahn,Pop,1923,English,dataset/Gus_Kahn-Isham_Jones/The_One_I_Love_Belongs_to_Somebody_Else/The_One_I_Love_Belongs_to_Somebody_Else.mxl
157,America the Beautiful,Katharine Lee Bates,Rock,1894,English,dataset/Katharine_Lee_Bates/America_the_Beautiful/America_the_Beautiful.mxl
170,Liza (All the Clouds'll Roll Away),Gus Kahn,Pop,1929,English,dataset/George_Gershwin-Gus_Kahn-Ira_Gershwin/Liza_(All_the_Clouds'll_Roll_Away)/Liza_(All_the_Clouds'll_Roll_Away).mxl
183,Hold Me,Ira Schuster,Rock,1917,English,dataset/David_Oppenheim-Ira_Schuster-Jack_Little/Hold_Me/Hold_Me.mxl
186,Let Me Call You Sweetheart,Leo Friedman,Pop,1898,English,dataset/Beth_Slater_Whitson-Leo_Friedman/Let_Me_Call_You_Sweetheart/Let_Me_Call_You_Sweetheart.mxl
201,Oh! Susanna,Stephen Foster,Pop,1845,English,dataset/Stephen_Foster/Oh!_Susanna/Oh!_Susanna.mxl
210,Pick Yourself Up,Jerome Kern,Pop,1936,English,dataset/Dorothy_Fields-Jerome_Kern/Pick_Yourself_Up/Pick_Yourself_Up.mxl
228,Summertime,George Gershwin,Rock,1935,English,dataset/DuBose_Heyward-George_Gershwin-Ira_Gershwin/Summertime/Summertime.mxl
249,Silver Threads Among the Gold,H.P. Danks,Pop,1903,English,dataset/Eben_E._Rexford-H.P._Danks/Silver_Threads_Among_the_Gold/Silver_Threads_Among_the_Gold.mxl
282,Lullaby of the Leaves,Joe Young,Rock,1932,English,dataset/Bernice_Petkere-Joe_Young/Lullaby_of_the_Leaves/Lullaby_of_the_Leaves.mxl
289,We Three Kings,John Henry Hopkins Jr.,Rock,1855,English,dataset/John_Henry_Hopkins_Jr./We_Three_Kings/We_Three_Kings.mxl
290,Shenandoah,[Traditional],Pop,,English,dataset/[Traditional]/Shenandoah/Shenandoah.mxl
291,On Top of Old Smoky,[Traditional],Rock,1925,English,dataset/[Traditional]/On_Top_of_Old_Smoky/On_Top_of_Old_Smoky.mxl
337,Love in Bloom,Ralph Rainger,Pop,1934,English,dataset/Leo_Robin-Ralph_Rainger/Love_in_Bloom/Love_in_Bloom.mxl
339,I Only Have Eyes for You,Al Dubin,Rock,1934,English,dataset/Al_Dubin-Harry_Warren/I_Only_Have_Eyes_for_You/I_Only_Have_Eyes_for_You.mxl
348,Indian Summer,Victor Herbert,Pop,1891,,dataset/Victor_Herbert/Indian_Summer/Indian_Summer.mxl
355,In the Bleak Midwinter,Christina Rossetti,Rock,1862,English,dataset/Christina_Rossetti/In_the_Bleak_Midwinter/In_the_Bleak_Midwinter.mxl
431,I'll Be Seeing You,Irving Kahal,Pop,1938,English,dataset/Irving_Kahal-Sammy_Fain/I'll_Be_Seeing_You/I'll_Be_Seeing_You.mxl
437,The Holly and the Ivy,[Traditional],Pop,,English,dataset/[Traditional]/The_Holly_and_the_Ivy/The_Holly_and_the_Ivy.mxl
459,Hobo's Meditation,Jimmie Rodgers,"Folk, World, & Country",1932,English,dataset/Jimmie_Rodgers/Hobo's_Meditation/Hobo's_Meditation.mxl
468,Did I Remember,Walter Donaldson,Pop,1936,English,dataset/Harold_Adamson-Walter_Donaldson/Did_I_Remember/Did_I_Remember.mxl
