id,title,artist_name,genre,year,language,path
czech04,Unknown,Unknown,folk,1901,Czech,folkKern/czech/czech04.krn
czech19,Unknown,Unknown,folk,1930,Czech,folkKern/czech/czech19.krn
czech33,Unknown,Unknown,folk,1930,Czech,folkKern/czech/czech33.krn
czech03,Unknown,Unknown,folk,1943,Czech,folkKern/czech/czech03.krn
czech06,Unknown,Unknown,folk,1505,Czech,folkKern/czech/czech06.krn
czech16,Unknown,Unknown,folk,Unknown,Czech,folkKern/czech/czech16.krn
czech12,Unknown,Unknown,folk,Unknown,Czech,folkKern/czech/czech12.krn
czech07,Unknown,Unknown,folk,1911,Czech,folkKern/czech/czech07.krn
czech37,Unknown,Unknown,folk,1930,Czech,folkKern/czech/czech37.krn
czech36,Unknown,Unknown,folk,1969,Czech,folkKern/czech/czech36.krn
czech30,Unknown,Unknown,folk,Unknown,Czech,folkKern/czech/czech30.krn
czech32,Unknown,Unknown,folk,1961,Czech,folkKern/czech/czech32.krn
czech21,Unknown,Unknown,folk,1531,Czech,folkKern/czech/czech21.krn
czech26,Unknown,Unknown,folk,Unknown,Czech,folkKern/czech/czech26.krn
czech34,Unknown,Unknown,folk,1943,Czech,folkKern/czech/czech34.krn
czech02,Unknown,Unknown,folk,Unknown,Czech,folkKern/czech/czech02.krn
czech41,Unknown,Unknown,folk,1960,Czech,folkKern/czech/czech41.krn
czech18,Unknown,Unknown,folk,1923,Czech,folkKern/czech/czech18.krn
czech13,Unknown,Unknown,folk,1938,Czech,folkKern/czech/czech13.krn
czech43,Unknown,Unknown,folk,1938,Czech,folkKern/czech/czech43.krn
czech20,Unknown,Unknown,folk,Unknown,Czech,folkKern/czech/czech20.krn
czech42,Unknown,Unknown,folk,1924,Czech,folkKern/czech/czech42.krn
czech08,Unknown,Unknown,folk,1907,Czech,folkKern/czech/czech08.krn
czech28,Unknown,Unknown,folk,1895,Czech,folkKern/czech/czech28.krn
czech01,Unknown,Unknown,folk,1840,Czech,folkKern/czech/czech01.krn
czech23,Unknown,Unknown,folk,1908,Czech,folkKern/czech/czech23.krn
czech22,Unknown,Unknown,folk,1595,Czech,folkKern/czech/czech22.krn
czech17,Unknown,Unknown,folk,Unknown,Czech,folkKern/czech/czech17.krn
czech29,Unknown,Unknown,folk,1938,Czech,folkKern/czech/czech29.krn
czech15,Unknown,Unknown,folk,1938,Czech,folkKern/czech/czech15.krn
czech14,Unknown,Unknown,folk,Unknown,Czech,folkKern/czech/czech14.krn
czech25,Unknown,Unknown,folk,1927,Czech,folkKern/czech/czech25.krn
czech27,Unknown,Unknown,folk,Unknown,Czech,folkKern/czech/czech27.krn
czech40,Unknown,Unknown,folk,1943,Czech,folkKern/czech/czech40.krn
czech24,Unknown,Unknown,folk,1865,Czech,folkKern/czech/czech24.krn
czech09,Unknown,Unknown,folk,1865,Czech,folkKern/czech/czech09.krn
czech31,Unknown,Unknown,folk,Unknown,Czech,folkKern/czech/czech31.krn
czech39,Unknown,Unknown,folk,1934,Czech,folkKern/czech/czech39.krn
czech35,Unknown,Unknown,folk,1844,Czech,folkKern/czech/czech35.krn
czech05,Unknown,Unknown,folk,1825,Czech,folkKern/czech/czech05.krn
czech38,Unknown,Unknown,folk,1935,Czech,folkKern/czech/czech38.krn
czech10,Unknown,Unknown,folk,1949,Czech,folkKern/czech/czech10.krn
czech11,Unknown,Unknown,folk,1914,Czech,folkKern/czech/czech11.krn
romani16,"Der Meierin Sohn Ich geh auf Gassen, ich geh auf Strassen,",Unknown,folk,1931,Romanian,folkKern/romania/romani16.krn
romani11,"Koenig von Mailand Et geng e Keneng ganz siwe Gor,",Unknown,folk,1931,Romanian,folkKern/romania/romani11.krn
romani05,"Die erzwungene Ehe 'Gaden Owend, ir Kechane, wa git et ech?'",Unknown,folk,1931,Romanian,folkKern/romania/romani05.krn
