id,title,artist_name,genres,year,language,path,language,rhythmic_density,num_notes,total_duration,avg_ioi,stdev_ioi,nPVI,periodicity,lz_complexity,norm_lz_complexity
10001,OLD SHIP OF ZION (Spiritual),Misc Traditional,folk,,,/mxl/1/11/QmbbYoiZw9vyy3sbHx2mCSWs55aVAUY3H8En3k3qpCe7Gp.mxl,,,,,,,,,,
10002,heyr himna smiður,Þorkell Sigurbjörnsson,folk,,,/mxl/1/11/QmbbzmUxVhYSRrWip7sQVzwFbYS3eARrZkiGaAv7GfHUiA.mxl,Icelandic,1.6470588235294117,112.0,68.0,0.5765765765765766,0.7818267998968371,24.94351494351493,6.918918918918919,50.0,0.44642857142857145
10003,A virgin most pure,Misc Traditional,folk,,,/mxl/1/11/QmbbsfUrKUFd3jcZxPYeSyaasesjAhoKHaH5BpmNi4mKzd.mxl,English,2.2839506172839505,185.0,81.0,0.41304347826086957,0.4294968554416649,24.299165994081275,2.5108695652173916,69.0,0.372972972972973
10004,a moment of madness,Katie Melua,pop,,,/mxl/1/11/QmbbHHfesYFDiPqJmtrjkFALHsDG6BCmgRN8yFjv6PGAzk.mxl,English,0.8859649122807017,202.0,228.0,0.8270676691729337,0.964226679255524,25.773494018476665,1.2180451127819556,83.0,0.41089108910891087
10005,seven bridges road,Eagles,rock,,,/mxl/1/11/QmbbZ5b6GnhQn71ewjGAumejmH9o5BQfARjvUZT6FwWEjW.mxl,English,0.8235294117647058,224.0,272.0,1.201793721973094,1.3239389792688891,34.01482220371257,4.484304932735425,100.0,0.44642857142857145
10006,Shenei Zeitim,Misc Traditional,folk,,,/mxl/1/30/QmbLkW9FgxwEU9CNWF5sG5AbuQgU2WDRL7WA2beUSQ4EP7.mxl,Unknown Language,1.3430656934306568,92.0,68.5,0.6868131868131867,0.3540582487234433,36.04073582095561,3.4340659340659334,39.0,0.42391304347826086
10007,manhattan,Sara Bareilles,pop,,,/mxl/1/5/Qmb6tNhkZE96dtGdJG5ApFWcmbMN1Z1xVPNYcZP8KzNG8o.mxl,English,0.8226221079691517,320.0,389.0,1.0626959247648904,1.7921507069943652,19.617378640179908,2.211598746081505,137.0,0.428125
10008,The Miraculous Harvest,Misc Traditional,folk,,,/mxl/1/44/QmbtPg93GhSyYAdXvXpHJCDHkn1jBYGP92Z91v6AnyZFGg.mxl,English,1.1875,38.0,32.0,0.7837837837837838,0.4432762018069385,40.40476190476189,5.25,19.0,0.5
10009,peg,Steely Dan,rock,,,/mxl/1/44/QmbtFCSFWpavQcbPUKXb23akNMXx6NBeP4Mo1vDV9VBHWw.mxl,English,0.7934782608695652,146.0,184.0,0.9241379310344827,1.542778171585973,20.588521722506492,6.203448275862069,64.0,0.4383561643835616
10010,First Came The Hour of Prayer,Misc Traditional,folk,,,/mxl/1/29/QmbKRW5z39b45DWMBRvYTzeTWJAihsS7SFLkyAhYs5SK7y.mxl,,,,,,,,,,
10011,The Easter sunshine breaks again,Misc Traditional,folk,,,/mxl/1/46/QmbuxSJR4YLvsELSekQFAm6thVfrWpWP2VJ91CsLSbos2H.mxl,English,0.42168674698795183,35.0,83.0,0.8695652173913043,0.6162190340460162,27.619047619047617,1.9782608695652173,15.0,0.42857142857142855
10012,Herongate,Misc Traditional,folk,,,/mxl/1/46/Qmbu2Sd8qVEYvPpznv4VAbG87KogiaCsvEL7Dzwv6nYwZz.mxl,No Lyrics,0.4583333333333333,22.0,48.0,1.069767441860465,0.5864893122287669,32.0,2.604651162790698,10.0,0.45454545454545453
10013,Medley of Early Carols,Misc Traditional,folk,,,/mxl/1/4/Qmb56c5RBdfpjojVsLCr5Z1ws4VX1tQVbRWqCHRur7biUv.mxl,English,0.6758893280632411,342.0,506.0,1.4721407624633431,2.316259838621304,27.2891469117885,7.1788856304985345,111.0,0.32456140350877194
10014,Macht hoch die Tür die Tor macht weit,Misc Traditional,folk,,,/mxl/1/35/QmboJ5D4ry7YvSFYJPqWRk6vzbMf44B5gE1TuJfAVyb5Cy.mxl,German,0.7395833333333334,71.0,96.0,1.3428571428571427,0.5314592925068078,12.53493013972055,2.6857142857142855,25.0,0.352112676056338
10015,Ascensius,Misc Traditional,folk,,,/mxl/1/35/QmboXk2py4gvARUKfFCzKzcNUg6eKLvMAn9KJVaRyamYVG.mxl,English,0.0234375,3.0,128.0,1.404494382022472,0.7892408687117282,74.28571428571429,2.853932584269663,3.0,1.0
10016,The Hills of Connemara,Misc Traditional,folk,,,/mxl/1/35/Qmbophij5jAvHn8Ks4yxC5Zj8J4bGvP5tJtikqfrDiYgJG.mxl,English,1.1176470588235294,38.0,34.0,0.6122448979591837,0.5441273309344861,42.03346203346202,1.7908163265306123,23.0,0.6052631578947368
10017,Through Gabriel His Message Mild,Misc Traditional,folk,,,/mxl/1/13/QmbcbYCBaafz1MXBSM1vQSGT8WRwjBnwXeRBG8vMF5oigh.mxl,English,0.9375,30.0,32.0,1.0689655172413792,0.340489959622957,18.39080459770115,,12.0,0.4
10018,Rejoice The Glorious Day Is Come,Misc Traditional,folk,,,/mxl/1/32/QmbMwSBmahdC2Tvv1GL17mvJBszPByfeEZceosFqtEvtrs.mxl,English,1.0333333333333334,62.0,60.0,0.9508196721311475,1.4833914344534047,27.975897975898004,1.3770491803278688,33.0,0.532258064516129
10019,another brick in the wall,Pink Floyd,rock,,,/mxl/1/32/QmbMbvEkkzvJwKsSXfKHcufXFGv8y87GxcVgz9GRCKEEcb.mxl,English,0.6442307692307693,134.0,208.0,0.8459595959595956,2.129105383897482,18.11672037235947,3.2121212121212137,44.0,0.3283582089552239
10020,Les trois bons droles,Misc Traditional,folk,,,/mxl/1/10/QmbAJEAFCSWLmBVSE69GZAdXVMztgoKa6ZjTFqYdZuLGn9.mxl,French,1.2592592592592593,51.0,40.5,0.78,0.633719180710194,25.73333333333333,3.55,23.0,0.45098039215686275
