Title,Artist,Year,Genre,path,language,rhythmic_density,num_notes,total_duration,avg_ioi,stdev_ioi,nPVI,periodicity,lz_complexity,norm_lz_complexity,,,,
The White Cliffs of Dover,Walter Kent,1994,"pop rock, pop, rock","Wikifonia/Walter Kent, Nat Burton - The White Cliffs of Dover.mxl",English,0.722222222222222,78,108,0.944444444444444,0.885409858361624,45.9987631416203,2.69444444444444,38,0.487179487179487,,,,
Be Not Afraid,Bob Dufford,2022,Desconocido,"Wikifonia/Bob Dufford, S.J. - Be Not Afraid.mxl",English,0.737804878048781,242,328,0.840314136125654,0.904481515738856,45.7371492160749,2.21465968586387,115,0.475206611570248,,,,
THE PLANES LAND DOWNTOWN IN SAN DIEGO,Kevin Cavanaugh,2008,"psychedelic, alternative rock, rock, downtempo, latin, trip hop, progressive rock, electronic, funk",Wikifonia/Kevin Cavanaugh - THE PLANES LAND DOWNTOWN IN SAN DIEGO.mxl,English,0.807471264367816,281,348,0.907651715039578,0.99309183641535,38.5215419501135,1.29331574318382,98,0.348754448398576,,,,
Royal Garden Blues,Clarence Williams,1994,Desconocido,"Wikifonia/Clarence Williams, Spencer Williams - Royal Garden Blues.mxl",English,0.977272727272727,215,220,0.719471947194719,0.817314921897474,31.1932719409355,1.20792079207921,89,0.413953488372093,,,,
Sweet Home Alabama,Ronnie Van Zant,Desconocido,"rock, alternative country, contemporary country, pop, southern rock, country, americana","Wikifonia/Ronnie Van Zant, Ed King, Garry Rossington - Sweet Home Alabama.mxl",English,0.946428571428571,159,168,0.738738738738739,0.985948987634263,40.0482218203737,0.914414414414414,66,0.415094339622642,,,,
"Ring,Ring",Benny Andersson,1990,"r&b, soul","Wikifonia/Benny Andersson, Stig Anderson&Bjorn Ulvaeus - Ring,Ring.mxl",English,0.971153846153846,202,208,0.947488584474886,1.21472344734209,34.7500592276712,3.1324200913242,67,0.331683168316832,,,,
Little Girl Blue,Richard Rodgers,Desconocido,"musical, soundtrack","Wikifonia/Richard Rodgers, Lorenz Hart - Little Girl Blue.mxl",English,0.754189944134078,135,179,0.977777777777778,0.955717040618402,38.6590855247571,2.85833333333333,65,0.481481481481481,,,,
Telstar,Joe Meeks,1990,Desconocido,Wikifonia/Joe Meeks - Telstar.mxl,No Lyrics,0.707547169811321,150,212,1.02970297029703,0.934721986636352,37.3706383102356,2.05940594059406,63,0.42,,,,
Just A Girl That Men Forget,Al Dubin,1967,"pop rock, sunshine pop, rock, ballad, pop, vocal, classic rock","Wikifonia/Al Dubin, Fred Rath & Joe Warren - Just A Girl That Men Forget.mxl",English,0.82089552238806,165,201,0.806584362139918,0.79584689735859,23.2636469221835,1.58847736625514,61,0.36969696969697,,,,
Interplay,Bill Evans,2009,"jazz rock fusion, cool jazz, jazz, bebop, post-bop",Wikifonia/Bill Evans - Interplay.mxl,No Lyrics,1.34375,129,96,0.669014084507043,0.420515517277436,23.6979166666667,1.86971830985916,41,0.317829457364341,,,,
There's something about a soldier,unknown  (war-time song),1979,Desconocido,Wikifonia/unknown  (war-time song) - There's something about a soldier.mxl,English,0.833333333333333,110,132,1.01626016260163,0.64371558428675,28.2772680937819,4.75609756097561,42,0.381818181818182,,,,
Ballad of the Sad Young Men,Tommy Wolf,2018,"vocal jazz, jazz, jazz vocals, contemporary jazz, jazz: jazz vocals, big band","Wikifonia/Tommy Wolf, Fran Landesman - Ballad of the Sad Young Men.mxl",English,0.627358490566038,133,212,1.01463414634146,1.19950416089514,43.4087629542174,2.02926829268293,62,0.466165413533835,,,,
Puttin' On The Ritz,Irving Berlin,1953,"jazz, retro, vocal, swing, big band",Wikifonia/Irving Berlin - Puttin' On The Ritz.mxl,English,0.825,165,200,0.844827586206896,0.854536053554915,42.177700348432,2.34051724137931,68,0.412121212121212,,,,
I Fall To Pieces,Hank Cochran,1980,"traditional country, country, soundtrack","Wikifonia/Hank Cochran, Harlan Howard - I Fall To Pieces.mxl",English,0.6015625,77,128,1.29166666666667,1.15394853534385,34.0601503759399,2.39583333333333,40,0.519480519480519,,,,
Smooth Operator,Ray St. John,2008,Desconocido,"Wikifonia/Ray St. John, Sade Adu - Smooth Operator.mxl",English,0.85,170,200,0.785714285714286,0.8331632479487,41.9573588804358,1.1984126984127,65,0.382352941176471,,,,
Misty,Errol Garner,1996,"jazz, smooth jazz","Wikifonia/Errol Garner, Johnny Burne - Misty.mxl",English,0.951612903225806,118,124,0.691275167785235,0.801837896043217,25.4538054538055,1.2751677852349,42,0.35593220338983,,,,
Forever and Ever,Traditional,2024,"rock, indie, pop, easy listening, metal, death metal, electronic, lo-fi",Wikifonia/Traditional - Forever and Ever.mxl,No Lyrics,0.784090909090909,138,176,0.977272727272727,1.02314806158389,26.2729484627295,2.93181818181818,61,0.442028985507246,,,,
Keep The Faith,Bon Jovi,1992,"arena rock, alternative rock, pop rock, rock, album rock, pop, aor, pop-metal, pop/rock, contemporary pop/rock, hard rock, metal, classic rock, hair metal, heavy metal",Wikifonia/Bon Jovi - Keep The Faith.mxl,English,1.00675675675676,447,444,0.988789237668161,1.56676450062615,30.9673286354901,2.06334080717489,131,0.293064876957494,,,,
A Ghost Of A Chance,Victor Young,2005,Desconocido,"Wikifonia/Victor Young, Bing Crosby and Ned Washington - A Ghost Of A Chance.mxl",English,0.821428571428571,207,252,0.760655737704918,0.823549300157243,32.4585770216838,1.38360655737705,77,0.371980676328502,,,,
Kit sok boldog p?sztor,Unknown,2023,Desconocido,Wikifonia/Unknown - Kit sok boldog p?sztor.mxl,Hungarian,1.875,45,24,0.370967741935484,0.338229306056625,44.3388429752066,0.741935483870968,23,0.511111111111111,,,,
Solo for flojt,Niklas Skog,2011,Desconocido,Wikifonia/Niklas Skog - Solo for flojt.mxl,No Lyrics,1.8030303030303,238,132,0.554852320675106,0.451378198154138,24.0787623066104,2.63291139240506,57,0.239495798319328,,,,
And Her Mother came Too,Ivor Novello,2002,Desconocido,"Wikifonia/Ivor Novello, Dion Titheradge - And Her Mother came Too.mxl",English,0.791666666666667,171,216,0.854251012145749,1.00957568438378,40.5490196078431,1.59514170040486,58,0.339181286549708,,,,
Oh! Look At Me Now,Joe Bushkin,Desconocido,"jazz, easy listening, vocal jazz","Wikifonia/Joe Bushkin, John DeVries - Oh! Look At Me Now.mxl",English,1.14024390243902,187,164,0.611328125,0.722347379094009,41.2101041133299,1.74609375,62,0.331550802139037,,,,
Can't Take My Eyes Off Of You,Bob Gaudio,2011,"electronic, dance, remark/well-known, house","Wikifonia/Bob Gaudio, Bob Crewe - Can't Take My Eyes Off Of You.mxl",English,1.15384615384615,240,208,0.692567567567567,0.70556901989176,21.7108321710832,1.22297297297297,81,0.3375,,,,
You're So Vain,Carly Simon,1972,"pop rock, piano, chanteur, singer-songwriter, diva, soft rock, country pop, classic, live, catchy, blues rock, rock, singer/songwriter, pop, revenge, contemporary pop/rock, female vocalist, angry, female vocalists, bluegrass/folk, pop/rock, adult contemporary, pop music, disco, classic rock, 70s",Wikifonia/Carly Simon - You're So Vain.mxl,English,1.34210526315789,153,114,0.586021505376344,0.554180863658288,28.6466165413534,1.69354838709677,49,0.320261437908497,,,,
This Happy Feeling,Jay Livingston,Desconocido,Desconocido,"Wikifonia/Jay Livingston, Ray Evans - This Happy Feeling.mxl",English,0.819047619047619,86,105,0.862068965517241,0.797588517670371,27.6078431372549,1.68965517241379,41,0.476744186046512,,,,
Going Home,Mark Knopfler,Desconocido,Desconocido,Wikifonia/Mark Knopfler - Going Home.mxl,No Lyrics,1.16831683168317,118,101,0.680272108843538,0.66311702511346,44.820460690906,1.36054421768708,57,0.483050847457627,,,,
Musetta's Waltz,Giacomo Puccini,2025,Desconocido,Wikifonia/Giacomo Puccini - Musetta's Waltz.mxl,English,1.60958904109589,235,146,0.471947194719472,0.461719002484852,28.3463260386337,1.37128712871287,77,0.327659574468085,,,,
De Oude Man En De Zee,Traditional,2009,Desconocido,Wikifonia/Traditional - De Oude Man En De Zee.mxl,No Lyrics,0.652573529411765,355,544,1.14618644067797,0.993531127259281,27.7939198278182,3.38135593220339,108,0.304225352112676,,,,
Blue Skies,Irving Berlin,1988,"jazz, jazz: jazz vocals, vocal jazz, jazz vocals",Wikifonia/Irving Berlin - Blue Skies.mxl,English,0.734375,94,128,0.898550724637681,1.01823842679592,37.3237753882915,1.79710144927536,44,0.468085106382979,,,,
Tinker Polka,unknown,2004,Desconocido,Wikifonia/unknown - Tinker Polka.mxl,No Lyrics,0.664285714285714,93,140,1.30188679245283,1.09819587317714,29.9231444883619,6.36792452830189,38,0.408602150537634,,,,
"Azt gondoltad, azt gondoltad",Hungarian folk song,2009,Desconocido,"Wikifonia/Hungarian folk song - Azt gondoltad, azt gondoltad.mxl",Hungarian,1.175,47,40,0.622950819672131,0.4674287681765,25.2173913043478,1.24590163934426,22,0.468085106382979,,,,
Cinema Paradiso,Ennio Morricone,2006,Desconocido,Wikifonia/Ennio Morricone - Cinema Paradiso.mxl,No Lyrics,1.33333333333333,96,72,0.514492753623188,0.522819935283744,23.8496240601504,0.985507246376812,39,0.40625,,,,
Te ?lomszusz?k ?bredj,Hungarian song,Desconocido,"classical, chamber music",Wikifonia/Hungarian song - Te ?lomszusz?k ?bredj.mxl,Hungarian,1.375,33,24,0.703125,0.372058778118458,21.0416666666667,1.21875,15,0.454545454545455,,,,
Apple Blossom Time,Albert Von Tilzer,1989,"pop rock, rock, rock and roll, pop, country, rockabilly, country rock, oldies","Wikifonia/Albert Von Tilzer, Neville Fleeson, ? - Apple Blossom Time.mxl",No Lyrics,0.28125,36,128,1.10714285714286,1.16146953450869,36.1904761904762,2.21428571428571,21,0.583333333333333,,,,
Fiesta Mexicana,Ralph Siegel,Desconocido,Folk,Wikifonia/Ralph Siegel - Fiesta Mexicana.mxl,Spanish,1.125,252,224,0.888446215139442,0.691082913781504,32.8008600518561,6.20517928286853,83,0.329365079365079,,,,
Oye Como Va,Tito Puente,Desconocido,latin,Wikifonia/Tito Puente  - Oye Como Va.mxl,No Lyrics,1.24553571428571,279,224,0.663690476190476,0.569122018945831,23.8403562863994,1.07440476190476,72,0.258064516129032,,,,
Autumn in Rome,Alessandro Cicognini and Paul Weston,1961,Desconocido,"Wikifonia/ Alessandro Cicognini and Paul Weston, Sammy Cahn - Autumn in Rome.mxl",English,0.898148148148148,97,108,0.826771653543307,0.879284678749205,41.1607142857143,2.45669291338583,44,0.45360824742268,,,,
Kiss the Boys Goodbye,Frank Loesser,1991,Desconocido,"Wikifonia/Frank Loesser, Victor Schertzinger - Kiss the Boys Goodbye.mxl",English,1.0703125,137,128,0.681318681318681,0.595387414350935,40,1.91208791208791,51,0.372262773722628,,,,
Carol,Chuck Berry,1967,rock & roll,Wikifonia/Chuck Berry - Carol.mxl,English,0.889705882352941,121,136,1.00769230769231,1.78237591582849,25.3174603174603,1.90384615384615,35,0.289256198347107,,,,
I Can't Help It,Hank Williams,Desconocido,Desconocido,Wikifonia/Hank Williams - I Can't Help It.mxl,English,0.757352941176471,103,136,0.904109589041096,0.846659569334928,20.0373482726424,1.79452054794521,31,0.300970873786408,,,,
I'll Give You The Earth,Paul De Senneville,1982,early to mid 70's,"Wikifonia/Paul De Senneville, Keith Michell - I'll Give You The Earth.mxl",English,1.11046511627907,191,172,0.7,0.9,27.092731829574,1.29166666666667,46,0.240837696335079,,,,
Pie Jesu,Andrew Lloyd Webber,2008,Desconocido,Wikifonia/Andrew Lloyd Webber - Pie Jesu.mxl,French,1.38636363636364,183,132,0.533333333333333,0.468189479686257,23.0015082956259,0.95,60,0.327868852459016,,,,
Hey You The Bluest,Ray Overton,2021,Desconocido,Wikifonia/Ray Overton - Hey You The Bluest.mxl,No Lyrics,1.13291139240506,179,158,0.621031746031746,0.616865685643531,26.5305356316592,1.06746031746032,63,0.35195530726257,,,,
Az a rendes iparos,Hungarian song,2009,Desconocido,Wikifonia/Hungarian song - Az a rendes iparos.mxl,Hungarian,1.33333333333333,64,48,0.580246913580247,0.511936472015194,34.3461829176115,1.66666666666667,27,0.421875,,,,
Az ?n zubbonyomra,Hungarian folk song,2004,Desconocido,Wikifonia/Hungarian folk song - Az ?n zubbonyomra.mxl,Hungarian,1.32142857142857,37,28,0.763888888888889,0.38162865733428,25.9259259259259,1.41666666666667,17,0.45945945945946,,,,
Someone To Watch Over Me,George Gershwin,1997,"jazz, vocal jazz, swing","Wikifonia/George Gershwin, Ira Gershwin - Someone To Watch Over Me.mxl",English,0.815,163,200,0.80161943319838,0.910530726196018,42.8649813834999,1.48178137651822,68,0.417177914110429,,,,
Peter Piper,Frank Mills,2007,easy listening,Wikifonia/Frank Mills - Peter Piper.mxl,No Lyrics,1.11057692307692,231,208,0.739130434782609,0.743857433610428,20.6211180124223,1.40579710144928,66,0.285714285714286,,,,
Maybe It's Because I'm a Londoner,Hubert Gregg,2022,"classical, romantic classical, renaissance, baroque",Wikifonia/Hubert Gregg - Maybe It's Because I'm a Londoner.mxl,English,1.15625,74,64,0.631578947368421,0.636094965528593,41.4263970428354,1.24210526315789,36,0.486486486486487,,,,
Au Privave,Charlie Parker (1920-1955),Desconocido,Desconocido,Wikifonia/Charlie Parker (1920-1955) - Au Privave.mxl,No Lyrics,1.3125,63,48,0.574074074074074,0.392346920664125,22.6881720430107,0.925925925925926,22,0.349206349206349,,,,
